Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-21,21:05:00,1049.1,1049.5,1048.79,1048.92,3163,0
2017-11-21,21:10:00,1049,1049.61,1048.83,1049.19,6044,0
2017-11-21,21:15:00,1048.81,1049.11,1048.7,1048.94,4990,0
2017-11-21,21:20:00,1049.2,1049.3,1048.18,1048.8304,3212,0
2017-11-21,21:25:00,1048.53,1048.87,1048.29,1048.76,4212,0
2017-11-21,21:30:00,1048.67,1048.99,1048.53,1048.96,4169,0
2017-11-21,21:35:00,1048.84,1049.535,1048.62,1048.917,5500,0
2017-11-21,21:40:00,1048.95,1049.1025,1048.27,1048.95,5424,0
2017-11-21,21:45:00,1048.8,1050.39,1048.62,1050.27,16147,0
2017-11-21,21:50:00,1050.27,1050.39,1049.42,1049.73,10793,0
2017-11-21,21:55:00,1049.78,1050.39,1048.99,1049.095,18140,0
2017-11-21,22:00:00,1049.29,1050.3,1049.2325,1050.3,145333,0
2017-11-22,15:35:00,1051.16,1052.07,1050.61,1051.6,32433,0
2017-11-22,15:40:00,1051.66,1052.3458,1050.63,1050.66,13827,0
2017-11-22,15:45:00,1050.69,1050.99,1049.05,1050.17,13925,0
2017-11-22,15:50:00,1050.14,1050.4699,1048.25,1048.975,12946,0
2017-11-22,15:55:00,1048.83,1049.71,1048.545,1049.37,10202,0
2017-11-22,16:00:00,1049.43,1050.43,1049.14,1050.08,7657,0
2017-11-22,16:05:00,1050.08,1050.39,1048.86,1049.21,5202,0
2017-11-22,16:10:00,1048.85,1049.2788,1048.16,1048.58,6598,0
2017-11-22,16:15:00,1048.46,1048.99,1047.93,1048.97,5489,0
2017-11-22,16:20:00,1048.97,1049.46,1047.65,1048.16,4987,0
2017-11-22,16:25:00,1048.125,1048.45,1047.25,1047.7492,5756,0
2017-11-22,16:30:00,1047.765,1049.55,1047.76,1049.31,6000,0
2017-11-22,16:35:00,1049.53,1049.6798,1049.14,1049.14,3762,0
2017-11-22,16:40:00,1049.355,1049.65,1049.0251,1049.5765,4952,0
2017-11-22,16:45:00,1049.68,1050.4916,1049.4101,1050.49,5244,0
2017-11-22,16:50:00,1050.5,1050.5,1049.15,1049.425,2600,0
2017-11-22,16:55:00,1049.21,1049.5399,1048.8001,1049.285,2849,0
2017-11-22,17:00:00,1049.375,1049.425,1048.64,1048.64,5714,0
2017-11-22,17:05:00,1048.84,1049.08,1048.13,1048.75,7759,0
2017-11-22,17:10:00,1048.36,1048.94,1048.2902,1048.94,6078,0
2017-11-22,17:15:00,1048.77,1049.6064,1048.76,1049.13,4202,0
2017-11-22,17:20:00,1049.39,1049.39,1048.63,1048.63,2080,0
2017-11-22,17:25:00,1048.73,1048.8316,1048.3201,1048.74,1664,0
2017-11-22,17:30:00,1048.53,1049.09,1048.18,1049.09,5197,0
2017-11-22,17:35:00,1048.53,1048.63,1048.11,1048.4,1767,0
2017-11-22,17:40:00,1048.22,1048.275,1047.79,1047.99,2486,0
2017-11-22,17:45:00,1047.77,1048.13,1047.5,1048.13,2299,0
2017-11-22,17:50:00,1048.15,1049.3,1048.15,1049.02,3261,0
2017-11-22,17:55:00,1049.16,1049.16,1048.31,1048.3753,3080,0
2017-11-22,18:00:00,1048.56,1049.15,1048.51,1049.08,1800,0
2017-11-22,18:05:00,1048.92,1049.27,1048.89,1048.96,1688,0
2017-11-22,18:10:00,1048.84,1049.1,1048.5,1048.5,1400,0
