Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-25,18:00:00,992.92,998.5,992.79,995.42,797234,0
2017-05-25,19:00:00,995.63,999,994.45,997.81,381388,0
2017-05-25,20:00:00,998.04,998.39,995.92,996.5404,237303,0
2017-05-25,21:00:00,996.59,998.21,995.92,996.44,229996,0
2017-05-25,22:00:00,996.505,996.7,991.77,993.38,716347,0
2017-05-26,16:00:00,995,998.21,991.3,997.08,554126,0
2017-05-26,17:00:00,997.01,998.65,993.64,994,447785,0
2017-05-26,18:00:00,994.3,995.62,992.505,993.12,288449,0
2017-05-26,19:00:00,993.51,994.05,992.26,992.45,252128,0
2017-05-26,20:00:00,992.51,992.7,989.2491,991.45,271360,0
2017-05-26,21:00:00,991.5,994.4,991.4309,993.11,172189,0
2017-05-26,22:00:00,993.11,995.79,992.551,995.78,606088,0
2017-05-30,16:00:00,996.51,1001.2,996.1,998.52,623171,0
2017-05-30,17:00:00,998.3483,999.29,995.52,997.82,400771,0
2017-05-30,18:00:00,997.81,999.379,997.205,997.42,180802,0
2017-05-30,19:00:00,997.31,1000,996.35,999.8905,232691,0
2017-05-30,20:00:00,999.83,1000,997.521,998.45,172440,0
2017-05-30,21:00:00,998.42,999,997.78,998.32,118721,0
2017-05-30,22:00:00,998.25,999.07,996.37,996.7,576962,0
2017-05-31,16:00:00,1000,1000.12,988.55,989.19,548089,0
2017-05-31,17:00:00,989.05,994.56,982.16,993.8,758668,0
2017-05-31,18:00:00,993.693,994.1699,990.58,993.78,275860,0
2017-05-31,19:00:00,993.49,994.05,990.92,991.24,154216,0
2017-05-31,20:00:00,991.47,993.31,991.29,992.34,131010,0
2017-05-31,21:00:00,992.3482,992.706,989.3594,991.1662,207485,0
2017-05-31,22:00:00,991.3,996.18,990.991,994.62,784052,0
2017-06-01,16:00:00,998.59,998.99,992.57,994.9269,337289,0
2017-06-01,17:00:00,995.01,996,991.37,993.46,345338,0
2017-06-01,18:00:00,993.38,996.4,992.57,995.93,197806,0
2017-06-01,19:00:00,996.07,997,995.24,996.74,151891,0
2017-06-01,20:00:00,996.63,997,993.52,995.44,146857,0
2017-06-01,21:00:00,995.44,996.1,993.8817,994.48,110536,0
2017-06-01,22:00:00,994.39,996.93,993.1,995.95,465086,0
2017-06-02,16:00:00,998.99,1001.76,995.67,1000.98,525277,0
2017-06-02,17:00:00,1000.815,1003.79,1000.55,1001.385,474082,0
2017-06-02,18:00:00,1001.3418,1006.19,1001.07,1006.19,358779,0
2017-06-02,19:00:00,1006.21,1007.265,1005.07,1006.8,305591,0
2017-06-02,20:00:00,1006.695,1008.48,1006.065,1007.451,266516,0
2017-06-02,21:00:00,1007.345,1007.44,1004.5,1005.87,231482,0
2017-06-02,22:00:00,1005.87,1006.89,1004.7957,1006.73,656916,0
2017-06-05,16:00:00,1007.23,1009.4999,1003.51,1007.5,646314,0
2017-06-05,17:00:00,1007.5,1012.51,1007.114,1010.565,352854,0
2017-06-05,18:00:00,1010.7,1012.035,1009.53,1011.345,168155,0
2017-06-05,19:00:00,1011.22,1012.26,1010.04,1011.1199,111496,0
2017-06-05,20:00:00,1011.12,1012.39,1010.95,1011.1,135331,0
2017-06-05,21:00:00,1011.15,1013.2,1011.15,1012.25,148543,0
2017-06-05,22:00:00,1012.4,1013.21,1011,1011.34,374820,0
2017-06-06,16:00:00,1012,1016.5,1008.91,1014.17,433933,0
2017-06-06,17:00:00,1014.42,1015.65,1012.9,1013.955,269340,0
2017-06-06,18:00:00,1014.0604,1014.07,1008.775,1011.99,316829,0
2017-06-06,19:00:00,1011.9202,1013.53,1010.74,1013.1888,138419,0
2017-06-06,20:00:00,1013.205,1013.59,1010.81,1012.37,129218,0
